"variable","value","species"
"total",230,"Actinostola callosa"
"true (bathy) & true (fao)",87.39,"Actinostola callosa"
"true (bathy) & false (fao)",11.74,"Actinostola callosa"
"false (bathy) & true (fao)",0.43,"Actinostola callosa"
"false (bathy) & false (fao)",0.43,"Actinostola callosa"
"total",1613,"Centroscymnus coelolepis"
"true (bathy) & true (fao)",100,"Centroscymnus coelolepis"
"true (bathy) & false (fao)",0,"Centroscymnus coelolepis"
"false (bathy) & true (fao)",0,"Centroscymnus coelolepis"
"false (bathy) & false (fao)",0,"Centroscymnus coelolepis"
"total",25805,"Chionoecetes opilio"
"true (bathy) & true (fao)",99.99,"Chionoecetes opilio"
"true (bathy) & false (fao)",0,"Chionoecetes opilio"
"false (bathy) & true (fao)",0.01,"Chionoecetes opilio"
"false (bathy) & false (fao)",0,"Chionoecetes opilio"
"total",481,"Coryphaenoides armatus"
"true (bathy) & true (fao)",94.8,"Coryphaenoides armatus"
"true (bathy) & false (fao)",0,"Coryphaenoides armatus"
"false (bathy) & true (fao)",4.99,"Coryphaenoides armatus"
"false (bathy) & false (fao)",0.21,"Coryphaenoides armatus"
"total",112,"Plesiobatis daviesi"
"true (bathy) & true (fao)",83.04,"Plesiobatis daviesi"
"true (bathy) & false (fao)",1.79,"Plesiobatis daviesi"
"false (bathy) & true (fao)",15.18,"Plesiobatis daviesi"
"false (bathy) & false (fao)",0,"Plesiobatis daviesi"
"total",435,"Tridacna gigas"
"true (bathy) & true (fao)",90.57,"Tridacna gigas"
"true (bathy) & false (fao)",0.23,"Tridacna gigas"
"false (bathy) & true (fao)",8.97,"Tridacna gigas"
"false (bathy) & false (fao)",0.23,"Tridacna gigas"
